username,content,score,at,sentimen
Fakhri Rizqy,woy aplikasi pepek kau balekkan uang ku anj enak kali kau aku enggak langganan lagi kok bisa dana ku ko ambil anj,1,10/7/2025 23:31,Negatif 
Alfarizi Ramadani,"baru coba netflix sudah payment tapi vidio gabisa play muter muter loading doang,kecewa sih",3,9/1/2025 1:54,Negatif 
MNKY D LUFFY,"pas coba masuk akun google kaga bisa kocak padahal sandi udah benar , rela rela ganti sandi demi masuk eh ternyata tetap nga bisa masuk , apk sampah",1,10/7/2025 22:10,Negatif 
Rafka Saput,pas pengen login kayak gk jelas gitu,1,10/7/2025 21:10,Negatif 
Coconutis Verynut,"jujur kecewa, karna beberapa series seperti TAWOG hanya ada 2 musim sedangkan aslinya ada 6 yng membuat penonton menjadi tergantung. beberapa seri juga sudah dihilangkan seperti family guy. overral untuk film² nya lumayan lengkap.",3,8/31/2025 21:26,Negatif 
Raudhotul Jannah,"Netflix gimana si? masa banyak film yang gaada, padahal gw mau nonton The nun, the Conjuring, Willy wonka & the chocolate, dan lain-lain, GW UDAH BAYAR MASA KAYA GINI?",3,8/31/2025 11:07,Negatif 
Uzzu Kwon,"Sengaja nyelipin LGBT sama sex di setiap series baru, ga penting banget. Drakor-drakor jadi kotor banget isinya, netflix penghancur drakor...",1,10/7/2025 13:21,Negatif 
Sinta Widiawati,"kesel bgt kadang tiba2 film yg lagi ditonton suka ilang, dicari judul nya ga muncul, aneh padahal lagi marathon anime tiba2 ilang tuh film nya gaada di pencarian Netflix",3,8/30/2025 20:32,Negatif 
45_mohammad alfin k (alfin),"tolong dong permudah pendaftarannya, ribet amat perkara daftar trus bayar doang padahal kolom udh keisi semua ttp gk bisa, saldo udh di lebihin juga males jadinya",3,8/29/2025 7:57,Negatif 
Afifah Ayu,"udah daftar kok tetep gabisa masuk, disuruh tempel link dibrowser atau apa itu, yg dimksd itu apa ya?ad yg tau kh?, kesel bgt dicoba berkali² ttp begitu",1,10/7/2025 10:57,Negatif 
Nadya Dwi lestari,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,1,10/6/2025 18:18,Negatif 
Sri Wahyuni,"ini Bgai mn sih, ktnya pmbyrannya bln September akhir, in kok malah minta byr sblm waktunya sih...!",3,8/28/2025 6:54,Negatif 
DIKI 5529B,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",1,10/6/2025 15:11,Negatif 
riyanti 27,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,1,10/6/2025 14:20,Negatif 
Akun Utama,KEMBALI KAN TAMPILAN KE VERSI SEBELUM NYA !!!!!!,3,8/24/2025 12:58,Negatif 
ADIN MONEK PATRA,tiba tiba tanggal 24 Agustus 2025 saya lagi nonton dungeon meshi jam 7 am tiba tiba film nya gada dan gabisa di putar dan beberapa anime yang saya tonton tiba tiba gada padahal lagi nonton saya keluar app bentar pas masuk gada aneh emang ngeselin padahal dikit lagi kelar,3,8/24/2025 8:22,Negatif 
Martin,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",1,10/6/2025 12:46,Negatif 
