userName,content,score,time
ZEO MASTER,Subtitlenya aneh seperti langsung di translate dari google tidak menggunakan bahasa yang baku aneh padahal aplikasi berbayar tapi subtitlenya sembarang jauh lebih bagus subtitle pada film bajakan tolong perbaiki subtitle kalian netflix saya tidak nyaman menonton jika subtitlenya tidak jelas,3,10/2/2025 14:30
Tuti Fauzie,ok👍,4,10/2/2025 13:13
Dwi Putri,"biasanya bagus smakin kesini tmbh gak jelas,gak bsa nonton d hp hrs bkin akun lg,biasa jg nonton d hp ribet bngt,,ak kn gk tiap hari d rumah jd sering nonton d hp ni mlh gk bsa,ak kn jg bayar. ak mau ngbisin bln ini aja gk mau lngganan lg,dana jg ak kosongin,,klo d isi psti lngsung d potong. bakal tk uniinstal.",1,10/2/2025 12:55
Akbar ganteng,gabisa masuk ke aplikasi!!!!! mohon diperbaiki..,1,10/2/2025 12:30
To the Moon,Hati2x netflix bnyak film isi ttg non binary...gender fluid...aplagi ada di film anak2x...ngajarin ttg gender...,1,10/2/2025 10:57
Lly Sftry,saldo gue kepotong trs cara berhenti nya gimana anj😭,1,10/2/2025 9:48
gdra 12,danger for your kids LGBT support for sattan...,5,10/2/2025 9:01
eko septian,"Sekedar Saran untuk Netflix agar lebih memperbanyak update film terbaru dari bioskop, agar jadi pilihan terbaik bagi para penikmat Netflix",5,10/2/2025 7:18
Wifionly Crb,Apakah langganan di Netflix bisa di batalkan dan saldo kembali?,1,10/2/2025 1:43
Vikaso Estilo,Belum bisa kebuka aplikasinya..,5,10/1/2025 21:07
mariyatul ikrimah,seru,5,10/1/2025 20:21
Deni Fauzi,yang mau berlangganan mending jangan karena film yang ada jadul semua,3,10/1/2025 19:48
nur azizah Perwitasari,kenapa harus berbayar sih. kasih keringanan dong biar yang Ndak punya duit bisa nonton buat hiburan gitu lah.. 😭 dan pas lihat ulasan dibawah ada yang sampai kepotong 2 kali jadi nyesel saya download tadi. sudah aku hapus lagi jadinya. Ndak jadi nonton film di Netflix,1,10/1/2025 18:23
bakso Bulat,ok,5,10/1/2025 17:17
Erari Silalahi766,jelek,1,10/1/2025 15:46
Halvac Martha,aduh saya tidak bisa login lagi kakak,1,10/1/2025 15:04
admelvandi busana.02,Tidak ada pilihan metode pembayaran.,1,10/1/2025 14:29
0,aplikasi pea,1,10/1/2025 13:49
Anjas Yanuar,si anjing babi,1,10/1/2025 12:19
Arvi N,bayar apaan dah?😹,1,10/1/2025 11:47
Welly rakhmawan,the best ahhhh,5,10/1/2025 11:46
Pemuda Hijrah,"padahal seingat saya ngak pernah pencet beli premium malah tiba"" beli premium langsung ilang duit saya di dana 65k ngak ada prosedurnya gimana"" langsung beli yahh bingung dong saya knp tiba"" kebeli.",1,10/1/2025 5:35
Gregorius Aldo,"Kalo memang cara masuk nya itu pakai vocer ya tinggal bilang aja, aku berjuang 4 jam untuk masuk akun ehhh ternyata pakai duit juga, Sekali mau bayar ehh gak mampu karena uang dana gak ada, tapi kan kalo memang gak bisa ya gak perlu lanjukan tu pendaptaran kan sekali aku isi dana untuk isi listrik ehhh malah abis diambil tu dana ku dasar apk gak ngotak. Udah gak jelas makin gak ada otak .lain kali kalo buat apk tu yang benar.",1,10/1/2025 0:33
Sagaf Said,bintang 4 dulu,4,10/1/2025 0:06
dadi yuniaariantidya,ngga bisa login,1,9/30/2025 23:17
Zaenudin Syah putra,APK NONTON FILM FAVORIT❤❤,5,9/30/2025 22:17
Aulia Lubis,"Netflix sekarang lok jadi hancur2an ya, jelek aplikasinya, TDK seperti dulu wktu baru2 buka, payah bgt skg, filmnya lumayan jadul TPI masih ok lah , tapi yg skg buka di awalnya gak bisa2, Uda di hapus trus download lagi masih gak bisa kebuka ....parah dah !!",1,9/30/2025 22:00
RUDI GUNAWAN aozora,bad,1,9/30/2025 21:41
Elios Sansan,kenapa si kok netflix gak mau mutet d hp loading mulu.giliran d tv bisa tv d hp ngga bisa padahal udah berlangganan lohh,1,9/30/2025 20:53
Abhelian SaputrA,"film nya gak update, update pun lama",1,9/30/2025 20:27
Dafi Duck,"engga komplit ,pengen cari film lama ,kaya the lord off the ring ,the Hobbit ,Thor ya pokonya banyak Hollywood yg engga ada",2,9/30/2025 19:37
Rafi Saftiawan,gimana cara daftar nya jir,1,9/30/2025 18:29
Al_ Morning,KENAPA GK BISA NONTON NETFLIX AJGGGG GUA UDH BAYAR !!!!!!,1,9/30/2025 17:34
Julio Dacruz,"apk tolol, email gua udh bener tapi gak bisa masuk juga. (email gak bisa ditemukan) padahal udah bener gua masukinya",1,9/30/2025 15:42
Andira Ara,aplikasi nya bagus bisa nonton semua film di bioskop tetapi bayar agak mahal,5,9/30/2025 15:04
Heri,Sebelumnya terimakasih?,5,9/30/2025 14:35
Denys Surya,"payah, gambar nya kayak kualitas dvdrip. dah mana per bulan nya 65rb. berasa nonton bajakan.",1,9/30/2025 14:12
indra bzoy,boboiboy the. movie,5,9/30/2025 13:48
Putri Praditia,aku udah berlangganan tapi ga bisa nonton. akun ku 1 malah bayar 2 lagii,1,9/30/2025 7:30
Endah Novitasari,"mending 1 bulan 200rb, dari pada 1 hari 200rb😭😭😭😭😭",5,9/30/2025 6:13
Hana Ritony,Maaf yah netflix saya gx bisa donlod kenapa harus bayar saya tidak punya duit,1,9/30/2025 5:38
Halid,"belum juga sebulan berlangganan malah gk bisa masuk,nonton gk bisa, disuruh up yg 120rb padahal cukup yg 720p malah di suruh 1080p gk jelas",1,9/29/2025 23:45
Fatta,"ini adalah aplikasi terbusuk yg saya pernah unduh mau masuk ke beranda aja banyak langkah langkah nya buang buang waktu,emang aplikasi busuk ini",1,9/29/2025 23:38
Kakak Yaya,tidak bisa putar film di Tab saya,2,9/29/2025 22:35
Nur islamiah Aprilia,yes ok banget,5,9/29/2025 21:37
Edi Sriyanto,"Aplikasi babi, tiap nonton selalu keluar sendiri, pake app hp, app laptop, pake web juga masih aja selalu keluar sendiri. Rugi2 udah langganan setahun lebih tapi layanannya busuk",1,9/29/2025 20:46
Xxx Xxx,"udah daftar pake PC komputer pas login di hp suruh daftar lagi,gak jelas banget",1,9/29/2025 19:59
Meini Tatuwo,gak bisa login pdhal udah langganan. kenapa sih ni aplikasiiiiii,1,9/29/2025 19:57
Billy Kent,kualitas nya sampah,1,9/29/2025 18:15
Farhan Clwr,ini gimana min nggak bisa masuk/login eror atau gimana,1,9/29/2025 17:25
leo resya,good,5,9/29/2025 17:06
Ketut Martini,kenapa gak bisa di uninstal?????,1,9/29/2025 16:34
donny ristiandi,"aplikasi lumayan, tapi kalau mau lanjut di aplikasi android tidak bisa pilih paket lain harus lanjutin paket sebelumnua",2,9/29/2025 14:23
syasya zaeti humaira,jelek bgt padahal udh bayar tapi pas mau nonton loading terus kouta saya juga msih ada tpi ttp gabisa,1,9/29/2025 13:37
Uthu Nemo,"ini knpa Netflix stuck itu2 aj filmnya??? apa2 d cari tak ada,,,, yg betul lah woy",1,9/29/2025 13:05
Yoga Dwi,lebih murah donk,5,9/29/2025 9:36
Melyta Dwi lestari,jelek bgt,1,9/29/2025 8:04
Nor mega Lestari,"kenapa ya ko gak bisa di setel muter terus, padahal saya sudah bayar tiap bulan langganan di netflix.",3,9/29/2025 6:37
purin ririn,sudah dibeli paket netflix g bs login,1,9/29/2025 5:47
Allbi Kaja,masa isi dalam apk netfli cuman ada lingk buat masuk ke croom trus pas di crom cuman bisa scrol kalo ke pencet balik ke apk yang ngasih ling gitu² mulu sampe gk ada sedetik buat nonton rugi gw udah berlangganan gw pengen uang gw di balikin aja dasar apk gk guna,3,9/29/2025 2:37
muhammad harist gusnaini,gak jelas,1,9/29/2025 1:15
Wendi Putra,kek mn sih ini mau batal kan langganan ajah mesti masuk di aplikasi nya harus bayar lagi sedang kan netflix nya udah langsung kepotong di saldo dana gmn sih gk jelas aplikasi nya merugikan orng,1,9/29/2025 0:41
Afrah Fathi Fauzani,"Nonton Hiburan Drama Film Horror, Video juga HD 100% persen No HOAX 👍👍👍",5,9/28/2025 21:58
azis sirojudin,kemahalan,1,9/28/2025 21:48
Fajeri Anoor,Good,5,9/28/2025 17:55
Sri indratama Wahyu jatmiko,ok,5,9/28/2025 16:19
Hans Hans,"aplikasinya kurang, ketika daftar melalui Gmail trs masukin sandi yang benar di bilang salah, perbaiki yang bagus 😒",1,9/28/2025 14:29
Feri Ferdianto,bagus bagus untuk gta-nya,5,9/28/2025 13:17
sindi lestari,"plis plis plis, susaa bgt bwt dftr ny",2,9/28/2025 13:04
Veronica officials,"“아이치이에 있는 거 넷플릭스에도 넣어줘.” “Tolong adain yang ada di iQIYI masukinke Netflix ya, bahasa Korea, karena iQIYI rese.”",1,9/28/2025 12:00
Febby Diana,pendaftaran yg ribet!!!,1,9/28/2025 11:38
Purwo Aji Darsono,"sampah,mau login aja muter muter doang,gabisa masuk,disuruh masukin kode,pas dimadukin kodenya,di ulang ulang terus, sampah",1,9/28/2025 10:25
Abila Arvi,2 aja lah capek nonton,2,9/28/2025 8:29
quisty oktavia,makin kesini neflix sering lag. suaranya ada tapi gambar video nya nge freeze gak gerak.,1,9/28/2025 7:57
Fahrur Rozi,mantap,5,9/28/2025 6:28
Iqbal Suffil,mau login aja setengah mati,1,9/28/2025 0:40
Ardhika Pmdy,filmnya ga lengkap woeeee,1,9/28/2025 0:14
Mahira Sahara,"Customer service didn't help me at all, even straight up rejected me without listening to my complaint. I'm ready to give my data to customer service whatever they need, but the service is not good, it's appropriate to give a rating of 0. I'm really disappointed, even though I need my account to watch! But CS doesn't want to help me change my email, I can change it myself without bothering CS if MY EMAIL IS STILL WORKING",1,9/27/2025 23:20
Oji Saputra,Saya sudah putuskan ke anggota an tapi saldo rekening saya tetap terpotong,1,9/27/2025 23:10
Moch Rizki Firdaus,Gabisa masuk pake nomor hp,1,9/27/2025 21:37
Elvira Elvira,lemot,1,9/27/2025 20:55
Dejan farid,"jelek banget ni aplikasi, udh mah ga bisa login pake gmail atau nomor telepon harus pake kode password, dan saya minta kode pasword nya ga dikasih, ribet banget ni aplikasi pake harus apalah",1,9/27/2025 19:46
Bia Cy,tidak bagus,1,9/27/2025 19:46
Indah Pravitha Sari,"blm sebulan berlangganan malah ga bs login, aneh bgt ni aplikasi buang² duit aja..",2,9/27/2025 19:40
Susila Huang,"lama2 jadi males langganan Netflix,karna setiap mo nonton delay,padahal sinyal bagus,udh bayar juga",1,9/27/2025 19:38
Devianita Dwi Jayanti,"langganan 186k, cuma bisa di laptop doank, giliran di HP cuma loading.",1,9/27/2025 19:03
Rasdianti Anti,baik,5,9/27/2025 18:31
Yu Ni,tkw malaysia,1,9/27/2025 15:06
Nof phe,"kalau mau nonton harus masuk/daftar dulu tapi pas saya daftar panjang prosesnya udah ada promosinya pas proses,saat udah selesai disuruh masukan sandi padahal pas awal belum disuruh buat sandi,pas mau ganti sandi prosesnya kaya dari awal terus di puter puter jadi nya saya belum bisa masuk,saya berikan masukan saat daftar/masuk beri pilihan google dan tinggal pilih akunnya trus selesai,ini membuat orang tidak bisa menonton mungkin bukan saya saja yang mengalami ini.",1,9/27/2025 15:04
Dayu Kinar,"ada beberapa film yg ingin saya tonton di Netflix seperti beberapa series umamusume (anime), saya sangat menyukai series yg ada di Netflix, namun terkadang kualitasnya pecah².",4,9/27/2025 13:51
Nur Halimah,bayar ihhhh,1,9/27/2025 12:22
Aliyah Fairuz,Kenapa Netflix di Tv tidak ada tombol ke nonton???,1,9/27/2025 10:58
Adam Rasyid Fajri,Burut,1,9/27/2025 10:49
Pria Tampan,"ribet amat ni aplikasi,cuma login aja ribet banget",1,9/27/2025 9:48
Jajang _lykan,"sudah berhenti langganan.. masih aja kepotong dan tau² berlangganan secara otomatis, sdah berhenti berlangganan lagi, bulan depannya kepotong lagi otomatis.. all hasil dah 6 bulan kepotong terus..",1,9/27/2025 9:41
Armansyah Amang,keren wak,5,9/27/2025 9:15
アタ―,"the shitties app ever. udh bayar preium yg paling mahal ternyata ga nyaman nontonnya. masa kecepatan video maksimal cuma 1,5. gw terbiasa nonton di speed 2. klo gitu jadi lelet dan buang waktu banget. gw balik aja ke tempat download bajakan. langsung gw cancel subcriptionnya. terbuang duit gw percuma",1,9/27/2025 9:10
Angelina Novia Keni,Sudah dibayar tapi gk bisa nonton. terus tagihan setiap bulan mau berhenti nya gk bisa,1,9/27/2025 1:42
Choirul Anam,👍,5,9/27/2025 0:51
SAKARIUS,gajelas apk korupsi,1,9/26/2025 23:51
Muhammad Akbar Prayogo,buat pembayaran berlangganan aja susah banget anj,1,9/26/2025 23:26
Karsa erika Demiansyah2,keren,5,9/26/2025 22:16
Diserly Apri,lg asik nonton tiba2 eror dan gk bisa di buka lg ke apa ini,1,9/26/2025 20:47
Rafliza,gembel eror mulu,1,9/26/2025 20:12
Bgssyifrmdhnn,"Padahal udah punya akun Netflix, eh pas mau masukin akun malah ga bisa login, udh berapa kali ganti sandi gmail sama minta kode sama aja, malah di suruh daftar akunlah, di arahin kelink gmail, link chrome. Apa harus berlangganan dulu baru bisa masuk?... Ribet banget mau nonton film aja, di mana"" kalo akun gmail udh tersangkut di apk kalo login langsung masuk walaupun kita non langganan, ini mah kga.",1,9/26/2025 19:43
Retno Wijayantie,"tolong masak aq mo nonton slalu gagal,perbaiki lah jgn mngecewakan,,atau suruh brhenti berlangganan?",2,9/26/2025 18:47
Halimatus Sadiyah,kenapa anime one piece gak lengkap kecewa top up buat nonton biar hd malah gak lengkap sakit hatii tauuu,2,9/26/2025 18:26
Tio Tanio,login nya susah banget,1,9/26/2025 17:01
Khalisha Luthfia Rahman Nasution,saya buka netflix masi aman banget namun ketika saya ingin menonton dia loading terus padahal paket data saya kencang,1,9/26/2025 15:58
Rei,aku udah login dan udah bayar juga tapi ga bisa masuk ke akun nya harus daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama Netflix aku kira ini apk yang bagus ternyata aku salah Netflix ku udah aku uninstall dan ya uang aku hilang padahal aku belum nonton sama sekali jujur kecewa banget,3,9/26/2025 15:25
asoe asoe,nonton di hp harus make data. ga bisa make wifi. di download bisa. ketika di putar ga bisa . harga berlangganan mahal tetapi ga sudai dengan aplikasi yg bobrok,1,9/26/2025 11:03
Darwis Dqueen72,halo dengan saya pengguna netflix ini ad masalah di sambungan di tv ko gangguan padahal sudah langganan . tolong di perbarui .,4,9/26/2025 10:04
Kartika Sari,filmnya sikit kali.,1,9/26/2025 9:48
Muhamad Khairurizal,sangat baguss sekali 🔥🔥🔥,5,9/26/2025 8:46
Nur Sa'adah,Sering banget ke log out otomatis sewaktu digunakan. Mau log in kembali error.,2,9/26/2025 8:29
Bibik Bik,aku suka bgtt karna ada KPop demon Hunter jadi walaupun gak banyak tapi gpp 😀,5,9/26/2025 5:41
abi ummy,lumayan utk di tonton klo BS ada tv online juga supaya bintang nya full,4,9/26/2025 4:24
Ghifa Ghifi,"apa ini,kok gak bisa bisa login padahal sudah buat akun,malah gak ke detek,gimana ni developer buat yang ngotak lah,apl gak bisa digunakan kenapa di promosikan,dasarrr developerrrr!!!!!!!!!",1,9/25/2025 23:05
Gilang Rahadian Permana,"kualitas gambar ga bisa di atur langsung kaya dulu, penurunan kah?",1,9/25/2025 22:12
Zahrul Setiyawan,Kebanyakan nyuruh gw bayar asuw baru juga downlod🙄,1,9/25/2025 20:18
Mitha dwi.p.j,kenapa ga bisa login sih ini!,1,9/25/2025 18:36
Andre Prasetyo,bad,1,9/25/2025 18:03
Sandy Hasjamuttar,aplikasi ampas,1,9/25/2025 17:31
Nazriel R. A.,"Saya mencoba melakukan pembayaran untuk mengecek e-wallet yang digunakan. Setelah itu, ternyata yang digunakan shopee pay dan saldonya kurang dari 50rb otomatis gagal. Selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal, tapi setelah saya menggunakan saldonya 400rb, saldo saya di potong sekitar 54rb untuk berlangganan, padahal pembayaran sudah gagal kenapa masih terpotongg?????",1,9/25/2025 16:57
Dyllaa,JELEK,1,9/25/2025 16:43
ULpann SRT,loading Mulu sialan,1,9/25/2025 15:28
Rara Jungkies,okey,5,9/25/2025 14:05
Horas Andi Lao Aritonang,"aplikasi apaan nih. gk bisa login , gw blom punya udah si suruh login tapi gk , bikin akunnya juga ribet 🗿😒",1,9/25/2025 13:30
Alfaris Ramadhan,Mudah,5,9/25/2025 13:02
Feby Dwi ayu,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa",5,9/25/2025 11:47
almiraaurelia0911,"udan masukin nomor WA gak bisa WA HP ku satunya lagi juga gak bisa, email udah ku masukin email 4x gak bisa masuk",1,9/25/2025 10:33
OTP_Candra wulandari,kenapa tidak bisa berjalan netflix nya? saya gabisa nntn karena terus memuat. padahal internet nya lancar banget,3,9/25/2025 9:48
Jurdin Ogi Jurdin Ogi,tidak berguna,3,9/25/2025 6:39
Aku Aku,Aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,3,9/25/2025 5:10
Azka Emun,driver,5,9/25/2025 3:11
Ananias_ Aje,"buruk, tidak bermanfaat, penyedot kuota internet, sumber virus",1,9/24/2025 22:46
Alfarizi Pria,gak bisa login,2,9/24/2025 20:19
leonardo Nahampun,penuh dengan film korea dan film serial... filmnya juga tidak ganti ganti...itu terus bertengger.,2,9/24/2025 20:08
oji rojiki,"bug makin parah, lagi nonton keluar sendiri, begitu terus ampe kesel",1,9/24/2025 20:08
Nur Sabrina Elvhira,bagus jir🤭,5,9/24/2025 19:10
Farel Eko.C,jangan donwload bre gk recomend login susah kek musang aplikasi tidak bermutu film gk lengkap hapus aja dari playstore.admin dongok,5,9/24/2025 14:28
Ans 0703,apalah baru daftar doang udah langsung disuruh premium. blom juga masuk ke menu aplikasi. sangat bintang 1,1,9/24/2025 13:49
Herman Daniel Gomes De Carvalho,bagus sekali saya suka,5,9/24/2025 9:55
Karimah ayu Wulandari,"mau daftar masuk email udah bener tapi katanya email salah ku cek berulang² kali tetep salah, aku ganti nomor telepon udah bener tetep salah",1,9/24/2025 9:05
Andre Sucahyono,iyesss,5,9/24/2025 8:47
Fie Hera,RUGIII... BERLANGGANAN CUMA 3 MINGGU NGGA GENAP SEBULAN.. SERING ERROR JUGA,1,9/24/2025 8:31
Rani Kia,"apaan sih netflix belum 1bulan udh abis gak bisa nonton lg, heran deh",3,9/24/2025 7:40
Jasuke Enha,"My account has run into a problem, and why does customer service make things so difficult for users? They always give template responses and don’t actually help at all. 💩💩💩💩💩",1,9/24/2025 7:05
Lili Lili,Saat saya ingin login ke akun saya malah keluar udah 5 kali jadi bintang ⭐ satu dah makasih,1,9/24/2025 5:05
rangga barata,bikin akun aja susah,1,9/24/2025 0:51
Steven Valianto,"Mantap, walau sering mendadak ada label leaving soon di film drama animenya",5,9/24/2025 0:26
Valianto Dharma saputra,"keren banget, walau udah banyak film drama anime yang mendadak hilang",5,9/24/2025 0:03
Sanss Brooo,parah banget saldo dana ku tiba tiba kepotong tanpa notif,1,9/23/2025 21:36
Asraf Satrio,terlalu banyak penipuan,1,9/23/2025 21:27
Muha 7,"ga bisa dibuka, ga ada trial free.",2,9/23/2025 20:13
Rijal Ahyar,"bayar mahal"" cmn kebanyakan semua film"" lama tdk ad film"" baru. sangat tdk rekomendasi, sebaiknya update",1,9/23/2025 18:08
Muhammad Rahman,sudah langganan Ribet setting akunya,5,9/23/2025 18:02
Taufik Dwi,belum pernah downoload tapi kayaknya 😜👈 MIKIR KIDS !!!,1,9/23/2025 16:34
Aditya Ruman,"langganan buat nonton film, eh film yang mau di tonton ga ada✋😹🤚",3,9/23/2025 15:30
Chelsea Eugenia,saya suka aplikasi ini karena filmnya asli walaupun harus berbayar tapi saya tetap suka nonton di netflix,5,9/23/2025 15:25
F N,kenapa ya netflix saya memutar terus,4,9/23/2025 15:14
Reza Lazuardi,gak bebas nonton banyak aturan,1,9/23/2025 11:56
nanda aisyah,lihat film selalu loading.,1,9/23/2025 5:38
L Kids,min gimana? gabisa nonton anjir,4,9/23/2025 5:37
Naufal Abiyu,"coba putar videonya, ada suaranya tapi gambarnya gak ada cuma hitam aja",2,9/23/2025 5:12
Jajat Movic,Sangat buruk,1,9/23/2025 2:47
Umar Bakri,"gk jelas bgt, sya mau pogin mengunakan sandi dan itu udh benar, malah pake kode masuk. sya perbaiki bintang nya stlah masuknya dipermudah",1,9/23/2025 2:45
Intan Ayu,"ga bisa nonton semua acara netflix tiba tiba, udh di uninstall udh hapus data sm change ttep ajh ga bisa. pdhl kuota full jaringan aman. kecewa banget sm apk ini. pdhl posisi lg nonton film komang",1,9/23/2025 2:10
RS TV73,saya Rizky dari Indonesia tolong bahasa Indonesia di adakan di setiap filem jangan bahasa negara seperti tailan ada Pati bahasa Indonesia ga ada ..... bukan cuma translate tapi bahasanya tolong di buat bahan Indonesia,3,9/23/2025 2:06
Moba Legen,udah berhenti langganan masih aja motong saldo anj banget netflix b2,1,9/23/2025 1:09
Fratama Jossy,👍👍👍👍👍,5,9/23/2025 0:35
Hardi Insta,"sinyal bagus , buka aplikasi streaming lain lancar tapi giliran bukan aplikasi ini malah ga bisa",4,9/23/2025 0:34
Rusdan Abdul wahab,ini kenapa udah bayar ga bisa login ?,1,9/23/2025 0:19
Josua yoel,sungguh mengecewakan,1,9/23/2025 0:01
Jhacka Boyss,"aplikasi ribet, login aja susah bikin pusing",1,9/22/2025 23:47
Dzaky Shankara,bagus banget,5,9/22/2025 23:44
Fauzan Zakaria,apk gjls udah dibayar tapi ga mau ke play filmnya padahal coba di apk sebelh malah lancar hadehh rusak rusak,1,9/22/2025 22:45
tauhid tauhid,sinyal full kok gak bisa nonton,1,9/22/2025 22:17
Akbar legendary,hey bagaimana cara login padahal saya sudah memasukkan alamat email yang benar tapi tidak valid tolongggggggg😭😭😭😭,1,9/22/2025 19:28
Dwimaya Sari,terima kasih ya telah membuat game ini kayak aku suka game ini cuman gaya bisa main GTA San Andreas definitive edition game ini bagus sangat terima kasih saya aku senang,5,9/22/2025 19:27
Ilham Miftahurizki,celeng celeng ndaftar ae ribett,1,9/22/2025 19:23
marda suli,🥺🙏🏻tolong mohon update Netflix gratis..! gak perlu paket saldo dan gak perlu tambahan biaya... dan bayar terus..,5,9/22/2025 17:45
Tegar Kusumaputra,APLIKASI GANGGUAN TERUSS,1,9/22/2025 16:38
Renebaee,film tidak bisa diputar,3,9/22/2025 14:50
Subrata Erlang,"saya sudah memasukan sandi yang benar,tapi masih salah dan gak bisa masuk.",1,9/22/2025 14:48
Makarov,sukses,4,9/22/2025 13:54
Budi Haryanto,Filmnya bagus bagus...,5,9/22/2025 13:42
Ferdy Silvera_666,Aplikasi For Watching Film2 Kerrreennn Terbaik No. 1 Di Dunia .!! 👌💯😎 But Why Sejak Awal Juni 2025 Film2 HORROR Baru Yang Tayang Kualitas'nya Jelek2 Semua .!!?? Please Tambahkan Segera Film2 HORROR INDONESIA TERBARU Seperti => LABINAK ( 2025 ) + QODRAT 2 ( 2025 ) + JANUR IRENG ( 2025 ) + PENJAGAL IBLIS ( 2025 ) + JALAN PULANG ( 2025 ) + PEMBANTAIAN DUKUN SANTET ( 2025 ) + DENDAM MALAM KELAM ( 2025 ) + PENGEPUNGAN DI BUKIT DURI + GUNDIK ( 2025 ) + MUSLIHAT ( 2025 ) & PAMALI - TUMBAL 🤘🥁😎,3,9/22/2025 13:11
rini mulyasari,kok film2 yg didonlot tdk ada bahasa indonesianya lgi... tpi kl nonton langsung ada.. ini gmn ya?? abiz upgrade loh,4,9/22/2025 11:32
Chisikuin Ita,"baru tau kalau netflix filmnya ga lengkap.. tujuan awal daftar paket netflix biar bisa n9nton yg gbsa di tonton secara gratis.. eh malah yg ada di gratis ga muncul di netflix. Jelek, ga rekomended, film dikit, saran yg mau berlanggan mending gausah, nyesel krn gabakal nemu film yg lu mau",1,9/22/2025 11:32
Juan Damongilala,subtitle nya kok ngk ada sihh,1,9/22/2025 10:55
Budi Astuti,Aw234s awal 2 w22w we see Aw WW2 www3 we can w a w2 we see,4,9/22/2025 10:45
charina 21,"netflix nya kok setelah di download subtitle bahasa indonesia nya gk muncul ya, harus ntn streaming, pdhal sebelumnya bisa",1,9/22/2025 10:37
Fahri,gjls bet stuck loading video trus padahal jaringan lancar,1,9/22/2025 10:33
Umar Habibi,"saya punya saran,untuk server Mesir atau dimanapun tolong di masukkan film Indonesia nya dong,saya pengen nonton ""norma"" tapi di Netflix Mesir gaada plis masukin 🙏",3,9/22/2025 8:36
Kiran Manubulu,Sangat baik,4,9/22/2025 8:34
Hanz Branz,apk sampah masak mau login atau daftar aja harus bayar apaan ameh banget. kocak,1,9/22/2025 8:33
Abdul Rifki,"saran, untuk film terbaru atau episode lebih baik di tampilkan paling atas, jngan di campur yng udah lama tapi ganti cover iklan",4,9/22/2025 7:35
azkayRatu,"Call center buruk,tdk ramah. saat ada kendala no solution pokoknya. Hati2 ges kalau berlangganan, 1 atau 2 hari kmudian dibatalkan pihak netflix alasan ada aktivitas mencurigakan, murka nya tiap diminta bukti aktivitas yg dimksd itu spt apa mereka gamau ngasih. Jujur bingung aktivitas apa pdhl gw cuman nonton doang. berlangganan jg sesuai prosedur trs dmn letak aktivitas itu? alhasil dana yg udah masuk gbs kembali ges alias hangus. Pdhl aplikasinya bagus bgt tp sgt tdk profesional. sangat kecewa",1,9/22/2025 6:16
TIK TOK APKING,uuuuuuuuuu nefflix goblokkkkkk aduuuuu login susahhh daftarr susaaaaahhhh Netflix sakit jiwa mintak jantunggg plissssss banget hapus apk ini DARI GOGEL Playlstoreeee buang buang waktu GK ada guna ni apk 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1,9/22/2025 5:57
Mian Mian,PESULAP MERAH OFFICIAL GTA SAN ANDREAS 🪄🎩,5,9/22/2025 4:30
Kholipah Ratnasari,daftarnya ribet udah bayar langganan udh download tp buffering trus gak ada yg bisa di play gmna sih,1,9/21/2025 23:48
Baby Panda,ini aneh kenapa selalu loading cara mengatasinya itu bagaimana ya??? trims,2,9/21/2025 22:39
Handri Super,"aplikasi saya gak bisa buka gua udah bayar, asemmm kau ya, nanti kalau udah bisa buka saya perbaiki ratingnya, kalau gak bisa buka saya tetap kasih bintang 1, awas hati² apk penipuan.",1,9/21/2025 22:21
Rien Nie.,Apakah saat ini Netflix ada masalah...?,4,9/21/2025 21:03
anak haram,gw mending nonton steel ball run di website bajakan daripada di Netflix,1,9/21/2025 19:15
Sri Yana,film nya bagus banget,5,9/21/2025 18:35
Dedy prasetyo,"daftar paket premium 1 bulan, eh taunya bisa nonton cuma 10 hari doang. mana bayarnya 65rb, padahal tagihan di tanggal 21 oktober lah ini malah akun di tangguhkan.",1,9/21/2025 13:10
Ancha Chaidir,mantapppp,5,9/21/2025 12:20
Ilah ilah. nurlailah,BAGUSS BGT gatau poko nya bintang 5,5,9/21/2025 9:09
Ghina Azhar,kenapa setelah di update beberapa subtitle di film/ drama yang di download tidak muncul ya? biasanya tidak pernah terjadi subtitle hilang-hilangan. saya jadi bingung harus download ulang atau re-install aplikasi. tolong bantuannya di perbaiki.,3,9/21/2025 7:42
Vega Grace,"mohon pihak netflix untuk membaca ulasan kami para costumer, disini saya juga ingin menyampaikan bahwa sudah hampir sekitar 1 bulan belakangan ini pada saat ingin nonton tidak bisa di putar, sekali bisa diputar gambarnya malah pecah seperti nonton dengan resolusi jaman bahula 360. padahal jaringan di rumah saya tidak ada masalah krna di apk lain saya nonton jernih dan lancar. tolong pihak netflix memperhatikan kepuasan para costumernya.",2,9/20/2025 21:59
